"","x"
"11","location is not precisely known during the mission, we make comparisons of dose values

at ﬁxed dosimeter locations to understand possible variations Within a vehicle. The

second re-normalization 0f the model estimated doses is made to the dose recorded by the

badge for each creW-member to determine the parameter, [3, from

(9) Dbadge : ﬂZCnDTLD,Skin (n)

Where the C” are fractions of time at speciﬁc locations used to sample from the variations

in the internal spacecraft radiation environment throughout a spacecraft. The organ dose

equivalent is then given by

(10) HT = ﬂZCn [HT,GCR<n> + aHW<n>1

The effective dose (ICRP, 1991) is deﬁned as an average of organ dose equivalents using

the tissue weighting factors, WT, as written

(1 1) E T = 2 WT H T

The tissues weighting factors (ICRP, 1990) are estimates of the average contribution

from speciﬁc tissues to the overall cancer burden With the major sites including the blood

forming organs, stomach, bladder, breast, lung, and gonads. The tissue weighting factors

are deﬁned to reﬂect the total detriment from radiation exposure, Which includes

consideration of the years of 1ife-10ss expected for different types of cancer deaths, cancer

morbidity and hereditary effects, however any age or gender dependence is ignored. For

the astronaut’s Ofﬁcial records, the effective dose is not used and instead risks for solid

cancer and leukemia are calculated individually using age and gender-speciﬁc risk

coefﬁcients, and 95% conﬁdence levels determined using the methods described by

Cucinotta et al. (2001b, 2005, 2006).

Vehicle shielding mass geometry models are used to assess the predictions of radiation
1 1

"
"12","transport codes to the area measurements. Shielding models eXist for the Space shuttle,
the Mir space station, and the 188. These models contain some inaccuracies due to their
method of construction, for e.g., the use of scaling assumptions for distinct materials to
an equivalent aluminum thickness, and Changes in the local interior environment from
mission to mission due to speciﬁc ﬂight manifests. However, in the re-normalization
approach to mission and astronauts speciﬁc dosimetry described above, such inaccuracies
are minimized. In the transport calculations the astronaut is placed at the locations of the
area dosimeters and an approximate average location is deﬁned for the ﬁnal dose
estimates. In actuality only a small variation in the organ dose equivalent is found at the
different locations within a vehicle, albeit the point dose variations (n0 tissue shielding)
can be as much as 50%. One effect that is not accounted for in this procedure is the
astronaut orientation within the vehicle, which can lead to non-negligible variations for
trapped proton doses (Wilson et al., 1995). However because the vehicle and astronaut
are in changing orientations throughout the mission relative to the orientation of the
trapped protons along the s0-called pitch angle distribution (NCRP, 2000), we assume an
average orientation in the calculations. A computerized anatomical model (CAM) 0f the
human body (Billings et al., 1973) is used in this procedure to allow for predictions of
organ speciﬁc quantities including the skin dose at the chest and the lens dose.
DOSES ON SPACE MISSIONS
In Table-4 and Figure—S and we show the average and individual effective dose-rates,
respectively, for all astronauts from all NASA Missions (through 2004). These results use
records of passive dosimetry worn on all NASA missions (excluding the Mercury I and II
missions where dosimetry was not utilized), and estimates of tissue absorption and
average quality factors from ﬂight spectrometers and radiation transport codes. The
effects of the 11-yr solar cycle can be seen in the Changes in dose-rates shown in Figure-
6. Also, dose-rate increase at higher altitudes due to longer sampling of the Earth’s
trapped radiation belts, with the highest dose-rate occurring on the Hubble telescope
launching and repair missions with altitudes near 600 km. Average quality factors range
from about 1.6 to 3.5 with the highest values occurring for GCR dominated missions such
12

"
"13","as the Apollo missions. For the deep space Apollo missions, the GCR dominated
astronaut doses With a small contribution from the trapped belts. The International Space
Station (188) and Mir missions were in a 51.6-degree inclination With altitudes ranging
from about 340 to 400 km have led to effective dose-rates Will range from 0.4 to about 1
mSV/day over the course of the solar cycle. Organ dose equivalents are made-up of more
than 80% contributions from GCR for most missions. US participation on the Mir
missions occurred near solar minimum, While the results in Figure-6 for the ISS
Expeditions 1-10 are at or near solar maximum resulting in a lower dose-rate. The large
number of medium size SPE’s occurring past the most recent solar maximum in 2000 in
effect reduced ISS crew exposures as the solar modulation parameter has remained at
higher values as solar minimum in late 2006 was approached.
Doses received by crews during extra-vehicular activities (EVA) are a particular concern
because there is much less shielding outside a vehicle compared to the interior. NASA
has scheduled EVA’s to occur outside the south Atlantic anomaly region of the trapped
proton belts and outside the higher magnetic latitudes of the Earths magnetic ﬁelds.
Mission planers have agreed to schedule the majority of EVA’s during these orbits,
Which occur over about a 12- hour time period each day. Although data on EVA doses is
not generally available, a comparison of total mission doses for astronauts performing
space-walks relative to other astronauts on the same mission that did not participate in
EVA’s is possible. This comparison is shown in Figure-7 and provides strong evidence
that proper EVA scheduling can be effectively used to ensure EVA doses are negligible.
BIODOSIMETRY ON LONG—TERM SPACE MISSIONS
Biodosimetry offers an alternative method to consider space radiation organ doses that
offers advantages over physical dosimetry. Pros to biodosimetry include providing a
method to include the self—shielding of the body, individual sensitivity, and because
chromosomal damage is know to provide good response to high LET heavy ions and
neutrons, Which is not true for TLD measurements or many other forms of physical
dosimetry. The self—shielding is important because of the loss and gains of distinct
13

"
"14","particle types including energy or LET Changes as radiation passes through tissue, Which
can not be accounted for by a measurement on the body surface. In some cases astronauts
for practical or other reasons do not wear the badges for portions of a mission, Which is
not a limitation With a blood sample. Cons to biodosimetry include statistical limitations
that occur based on the blood sample size, especially at low doses (<50 mSV), and
possible anomalies that may occur in the sample including poor growth simulation and
the presence of clonal aberrations (George et al., 2004). For long missions, it is possible
that a percentage of damaged cells are lost before the post-ﬂood sample is analyzed.
At NASA biodosimetry is performed for all long duration missions using the method of
ﬂuorescence in-situ hybridization (FISH) or Whole cell chromosomal painting. Three
large chromosomes, typically chromosomes 1, 2 and 4 are painted With unique colors and
all other Chromosomes are counter-stained With a dapi blue chemical (George et al.
2004). Aberrations between Chromosomes including translocations, dicentrics, and
complex aberrations are then scored. A pre-ﬂight sample is taken at about 90 days before
the mission and a baseline and dose-response calibration curve for gamma-rays is
determined. The post—ﬂight yield of aberrations, Yf is then compared to the pre-ﬂight
baseline, YZ- and dose calibration curve to estimate a biological dose. Here a weighted
linear regression model is ﬁt the pre-ﬂight sample exposed to gamma-rays at low doses,
Yi=A +BD. The post—ﬂight biological dose is then estimated as Dpos[:(Yf'A)/B. Figure 8
shows a comparison of the biological doses versus effective dose estimates for astronauts
on Mir, a high-altitude Hubble repair mission, and several ISS missions. The left panel
show the biological dose estimate based on the individuals pre-ﬂight calibration curve to
gamma-rays, and the right hand panel is the comparison using pre-ﬂight calibration
averaged over the population of astronauts undergoing biodosimetry evaluation.
Individual variations to the exposure are Clearly eVident in the results.
FUTURE CONSIDERATIONS
The results described here show that astronaut organ dose exposures are now well
described by space radiation transport models With an accuracy of better than i15%.
l4

"
"15","However, for outpost missions to the moon lasting about 180 days or Mars missions
expected to last from 600-1000 days, effective doses from GCR will be much higher
(Table-S) than past space missions because of the absence of the magnetic protection
provided by the Bath from lower energy GCR components and longer duration of the
missions. In addition, a signiﬁcant probability would eXist for one or more large solar
particle events. Dose limits have not been deﬁned for a Mars missions, and await both
new knowledge needed for risk assessment, and considerations of what is the acceptable
level of risk for such missions. Using the recent NCRP risk estimates and organ dose
equivalents we can estimate that no NASA astronaut has achieved a point estimate of
lifetime risk (REID) of more than 1% cancer fatality. However, long-term deep space
missions will incur risks of 3 to 5 % and estimates of unoeItainties in risk estimates
(Cucinotta et al., 2001b; Cuoinotta and Durante, 2006) show 95% conﬁdence levels
exceeding a 10% risk. Also, risks to the central nervous system will be of a higher
concern for a Mars mission than past missions in low EaIth orbit (NCRP, 2000).
Understanding the biological effects of such exposures and developing effective counter-
measures is a major endeavor and is the focus of current research effOIts at NASA. These
problems are a major scientiﬁc challenge, requiring the dedication of the biomedical
research community in the Unites States and other nations with interest in space travel to
realize the necessary solutions.
ACKNOWLEDGEMENTS
Special appreciation is extended to Bill Atwell, Myung-Hee Kim, and Kerry George in
the preparation of this report. The memories of our colleagues, Dr.’s Stuart Natohwey,
Tracy Yang and Gautam Badhwar are noted in our summary of past space results.

15

"
"16","REFERENCES
Badhwar, G.D, Spaceﬂight Validation of Material Shielding Properties. In: NASA
Workshop on Shielding Strategies for Human Space Exploration. Eds. Wilson, J .W.,
Miller, J ., Konradi, A., and Cucinotta, FA. NASA-CP-1997-3360, 1997.
Badhwar, G.D., Cucinotta, F.A.: A Comparison of Depth Dependence of Dose and
Linear Energy Transfer Spectra in Aluminum and Polyethylene. Radiat. Res. 153, 1—8,
2000.
Badhwar, G.D., W. Atwell, F. F. BadaVi, T. C. Yang, And T. F. Cleghom: Space
Radiation Absorbed Dose Distribution in a Human Phantom. Radiat. Res. 157, 76-91,
2002.
Benton, E.V.: Summary of Radiation Dosimetry Results on the US. and Soviet Manned
Spacecraft. Adv. Space Res. 6, 315-328, 1986.
Billings, M.P., Yucker, W.R., Heckman, B.R.: Body Self—Shielding Data Analysis,
McDonald Douglas Astronautics Company West, MDC-G4131, 1973.
Blakely, E.A., Bjomstad, K.A., Chang, P.Y., McNamara, M.P., Chang, E., Aragon, G.,
Lin, S.P., Lui, G., and Polansky, J .R.: Growth and differentiation of human lens epithelial
cells in Vitro 0n matrix. Inv. Opth. & Vis. Sci. 41, 3898-3907, 1999.
Butts, J .J . and Katz, R.: Theory of RBE for Heavy Ion Bombardment of Dry Enzymes
and Viruses. Radiat. Res. 30, 855-871, 1967.
Cucinotta, F.A., J .W. Wilson, J .L. Shinn, F.F. BadaVi, and GD. Badhwar: The Effects of
Target Fragmentation 0n LET Spectra from Space Radiation. Radiat. Meas. 26, 923-934,
1996.
Cucinotta, F.A., Nikjoo, H., and Goodhead, D.T.: Radial Distribution of Energy ImpaITed
in Nanometer Volumes from HZE Particles. Radiat. Res. 153, 200021.
Cucinotta, F.A., Wilson, J .W., Williams, J .R., Dicello, J .F.: Analysis of Mir-18 Results
for Physical and Biological Dosimetry: Radiation Shielding Effectiveness in LEO.
Radiat. Meas. 31, 181-191, 2000b.
Cucinotta, F.A., Manuel, F.K., Jones, J ., Izsard, G., Murrey, J ., Djojonegro, B., and Wear,
M. Space Radiation and Cataracts in Astronauts. Radiat. Res. 156, 460-466, 2001a.
Cucinotta, F.A., Schimmerling, W., Peterson, L.E., Wilson, J .W., Badhwar, G.D.,
Saganti, P., and Dicello, J .F.: Space Radiation Cancer Risks and Uncertainties for Mars
Missions. Radiat. Res. 156, 682-688, 2001b.

16

"
"17","Cucinotta, F.A., Kim, M.Y., and Ren, L: Managing Lunar and Mars Mission
Radiation Risks Part1: Cancer Risks, UnceItainties, and Shielding Effectiveness.
NASA/TP-2005-213164.
Cucinotta, F.A., and Durante, M.: Cancer Risk from Exposure to Galactic Cosmic Rays:
Implications for Space Exploration by Human Beings. The Lancet Oncology 7, 431-435,
2006.
Cucinotta, F.A., Wilson, J .W., Saganti, P., Hu’ X., Kim, MY, C1egh0rn’T., Zeitlin, C.,
Tripathi, R.K., Isotopic Dependence of GCR Fluence Behind Shielding. Radiat. Meas.
41, 1235-1249, 2006.
Fry, R.J.M., and Nachtwey, D.S.: Radiation Protection Guidelines for Space Missions.
Health Phys. 55, 159-163, 1988.
George, K., Wu, H., Durante, M., Willingham, V., and Cucinotta, F.A.: Chromosome
Aberrations in Blood Lymphocytes 0f Astronauts after Space Flight. Radiat. Res. 156,
731-738, 2001.
George, Durante, M., Willingham’ V. and Cucinotta, F.A.: Chromosome Aberrations 0f
Clonal Origin are Present in Astronauts’ Blood Lymphocytes. Cytogenetics and Genome
Res. 104, 245-251, 2004.
International Commission on Radiological, Recommendations of the International
Commission on Radiological Protection. ICRP Publication 60, Pergamon Press, Oxford,
1990.
Kim, M.Y., Wilson, J .W., and Cucinotta, F.A.: A Solar Cycle Statistical Model for the
Projection of the Space Radiation Environment. Adv Space Res 37, 1741-1748, 2006.
National Council on Radiation Protection and Measurements. Guidance on Radiation
Received in Space Activities NCRP Report No. 98. National Council on Radiation
Protection and Measurements, Bethesda MD, 1989.
National Council on Radiation Protection and Measurements, UnceItainties in fatal
cancer risk estimates used in radiation protection, NCRP Report 126, Bethesda MD,
1997.
National Council on Radiation Protection and Measurements, Recommendations of Dose
Limits for LOW EaIth Orbit. NCRP RepOIt 132, Bethesda MD, 2000.

17

"
"18","National Academy of Sciences National Research Council, Radiation Protection Guides

and Constraints for Space-Mission and Vehicle-Design Studies Involving Nuclear

System, Washington DC, 1970.

Nikjoo, H., Khvostunov, I.K., Cueinotta, F.A.: The Response of (TEPC) Proportional

Counters to Heavy Ions. Radiat. Res. 157, 435—445, 2002.

Preston, D.L., Shimizu, Y., Pierce, D.A., Suyumac, A., and Mabuchi, K.: Studies of

Mortality of Atomic Bomb Survivors. Report 13: Solid Cancer and Noneancer Disease

Mortality: 1950—1997. Radiat. Res. 160, 381-407, 2003.

Vaeth, M., and Pierce, D.A.: Calculating Excess Lifetime Risk in Relative Risk Models.

Environ. Health Per. 87, 83-94, 1990.

Wilson J .W., Townsend, L.W., Schimmerling, W., Khandelwal, G.S., Khan, F., Nealy,

J .E., Cueinotta, F.A., Simonsen, L.C., Norbury, J .W., Transport Methods and Interactions

for Space Radiations. RP1257, NASA, Washington DC, 1991.

Wilson, J .W., Kim, M.; BadaVi, F. F.; Thibeault, S. A.; Cueinotta, F.A., Shinn, J .L., and

Kieffer, R., Issues in Protection From Galactic Cosmic Rays. Radiat. Environ. Biophys.

34, 217-222, 1995.

Worgul, B.V., Merriam, G.R., Mededovsky, C., and Brenner D.J.: Accelerated Heavy

Particles and the Lens 111 Cataract Enhancement by Dose Fractionation. Radiat. Res. 118,

93-100, 1989.

Yang, T.C., George, K., Johnson A.S., Durante, Federenko, B.S.: Biodosimetry Results

from Space F1ightMir-18. Radiat. Res. 148, 17-23, 1997.

Yasuda, H., Badhwar, G.D., Komiyama, T., and Fujitaka, K.: Effective Dose Equivalent

0n the Ninth Shuttle-Mir Mission (STS 91). Radiat. Res. 154, 705-713, 2000.
18

"
"19","Table-la. Short-term dose limits (in Gy) for preventing deterministic radiation effects for
Space Activities in low Earth orbit (LEO) (NCRP, 2000).
Organ 30 day limit I Year Limit
Eye 1.0 Gy-Eq 1.5 Gy-Eq
Skin 2.0 3.0
BFO 0.25 0.5
Table-lb. Example career effective dose limits in units of Sievert (mSv) corresponding
to a REID 0f 3% for l-year missions and projection of average Life-loss for an exposure
induced death for radiation carcinogenesis (1 mSv= 0.1 rem).
A ge, yr Career effective dose limits in units ofSievert
(mSv) for 1-year missions (Ave Life Loss).
Males Females

25 520 (15.7) 370 (15.9)

30 620 (15.4) 470 (15.7)

35 720 (15.0) 550 (15.3)

40 800 (14.2) 620 (14.7)

45 950 (13.5) 750 (14.0)

50 1150 (12.5) 920 (13.2)

55 | 1470 (11.5) 1120 (12.2)

19

"
"20","Figure—Z: Comparison of HZETRN/QMSFRG model to ﬂight measurements on NASA space shuttle and Russian Mir space station.
Shielding locations represent locations Within the space shuttle 0r Mir station Where TEPC’s were located. For the STS-81 and STS-89
missions TEPC’S were embedded Within polyethylene or aluminum spheres of different thicknesses and stowed inside the payload bay
of the space shuttle (Badhwar and Cueinotta, 2000).

Mission DATE Inclination Altitude Shielding Dose, mGy/d Dose Eq., mSV/d
———
STS-40 1991 39 293 D1002 0.052 0.048 7.7 0.13 0.16 -23.1
STS-49 1992 28.5 358 D1002 0.05 0.048 4.0 0.127 0.155 -22.0
STS-51 1993 28.5 296 Payload Bay 0.044 0.048 -9.1 0.144 0.154 -6.9
STS-57 1993 57 298 Payload Bay 0.113 0.109 3.5 0.422 0.434 -2.8
STS-57 1993 57 298 DLOC-2 0.138 0.11 20.3 0.414 0.37 10.6
Mir-18 1995 51.6 390 P 0.142 0.141 0.7 0.461 0.526 -14.1
STS-81 1997 51.6 400 0-sphere 0.147 0.135 8.2 0.479 0.521 -8.8
STS-81 1997 51.6 400 Poly 3-in 0.138 0.138 0.0 0.441 0.400 9.3
STS-81 1997 51.6 400 Poly 5-in 0.129 0.118 8.5 0.316 0.368 -16.5
STS-81 1997 51.6 400 Poly 8-in 0.128 0.113 11.7 0.371 0.323 12.9
STS-81 1997 51.6 400 P01y12-in 0.116 0.111 4.3 0.290 0.298 -2.8
STS-89 1998 51.6 393 0-sphere 0.176 0.148 15.8 0.561 0.614 -9.4
STS-89 1998 51.6 393 A13-in 0.167 0.159 4.8 0.445 0.488 -9.7
STS-89 1998 51.6 393 A17-in 0.149 0.161 -8.1 0.529 0.617 -16.6
STS-89 1998 51.6 393 A19-in 0.171 0.162 5.3 0.492 0.541 -10.0

"
"21","Table 33. Comparison of measured organ dose equivalent for STS-91 mission by Yasuda
et al. (2000) using combined CR-39/TLD method to HZETRN/QMSFRG space transport
model.
Organ Dose Equivalent, mSv

Tissue Measured Std. Error HZETRN/QMSFRG
Skin 4.5 0.05 4.7

Thyroid 4.0 0.21 4.0

Bone surface 5.2 0.22 4.0
Esophagus 3.4 0.49 3.7

Lung 4.4 0.76 3.8

Stomach 4.3 0.94 3.6

Liver 4.0 0.51 3.7

Bone marrow 3.4 0.40 3.9

Colon 3.6 0.42 3.9

Bladder 3.6 0.24 3.5

Gonad 4.7 0.71 3.9

Chest 4.5 0.11 4.5
Remainder 4.0 0.57 4.0
Effective dose 4.1 0.22 3.9

Table 3b. Comparison of small active dosimetry data from the ISS Inerement—Z Phantom
Torso Experiment in comparison to the calculations from the HZETRN/QMSFRG model.

time during Trapped radiation GCR Total dose rate
July 26—August (mGy/d) (mGy/d) (mGy/d)
SMADOS 1, 2001 Difference
ﬁll”
2001(day)

"
"22","Table-4. Average dose (D) or dose-rate recorded by dosimetry badge and estimates of the
effective doses, E received by crews in NASA programs through 2004.
D, E, D-rate, E-rate,
NASA P7087517” N0. mGy mSv mGy/d mSv/d
Crew
Mercury 6 0.1 0.15 0.3 0.55
Gemini 20 1.3 2.2 0.49 0.87
Apollo 33 4.1 12.0 0.43 1.2
Skylab 9 40.3 95.0 0.71 1.4
(50 deg X 430 km)
ASTP
(50 deg X 220 km) 3 1.1 2.3 0.12 0.26
STS
28.5 deg (>400 km) 85 9.5 17.0 1.2 2.1
28.5 deg (< 400 km) 207 0.9 1.6 0.1 0.18
39-40 deg 57 1.1 2.4 0.1 0.21
>50 deg (>400 km) 10 2.2 5.2 0.44 1.1
>50 deg (<400 km) 190 1.7 3.8 0.2 0.45
NASA-Mir 6 50.3 115 0.37 0.84
(51.6 deg X 360 km)
ISS EXp.’s 1-10 13 26.0 68.0 0.16 0.40
(51.6 deg X 380 km)
22

"
"23","Table 5. Calculations of effective doses, %-REID from fatal cancer, and 95%
conﬁdence intervals (CI) for lunar 0r Mars missions. Calculations are at solar
minimum Where GCR dose is the highest behind a S-g/cm2 aluminum shield.
The absorbed dose, D and Effective dose, E are averaged over tissues
prominent for cancer risks. Competing causes of death are considered in the
calculation because for high values of risk they compress the risk probabilities
(>5%) (Cucinotta and Durante, 2006).
Exploration mission D, Gy E, Sv %-REID 95% CI
(length Ofmission)
Males (40 y)
Lunar (180 d) 0.06 0.17 0.68 [0.20, 2.4]
Mars swingby (600 d) 0.37 1.03 4.0 [1.0, 13.5]
Mars exploration (1000 d) 0.42 1.07 4.2 [1.3, 13.6]
Females (40 y)
Lunar (180 d) 0.06 0.17 0.82 [0.24, 3.0]
Mars swingby (600 d) 0.37 1.03 4.9 [1.4, 16.2]
Mars exploration (1000 d) 0.42 1.07 5.1 [1.6, 16.4]
23

"
"24","Figure Captions

Fig.1. The occurrence time of large solar proton events and the time-dependent solar

modulation parameter, (I) Which describes the modulation of GCR is shown versus

calendar year.

Fig. 2. Measurements of the differential lineal energy (y) spectra for GCR (Open squares)

and total (GCR+trapped) (solid Circles) from a TEPC placed in front of phantom torso

experiment on 188 Expedition-Z (June 25-July 3, 2001).

Fig. 3. Comparison of calculations of LET and lineal energy spectra to TEPC lineal

energy spectra measurements from the GCR and secondaries 0n the STS-56 shuttle

mission.

Fig. 4. Calculations from the HZETRN/QMSFRG model for the proton, helium, neutron

and heavy ion components to crew doses versus aluminum shielding depth in the ISS

orbit.

Fig. 5. The badge doses and effective doses versus calendar year from all astronauts on

all NASA space missions (Mercury, Gemini, Apollo, Skylab, Apollo-Soyuz, Shuttle, Mir,

and 188 (Expedition 1-10)).

Fig. 6 The effective dose-rates for all NASA space missions (Mercury, Gemini, Apollo,

Skylab, Apollo-Soyuz, Shuttle, Mir, and 188 (Expedition 1-10)).

Fig 7. Ratio of total mission dose from TLD-badges for ereW-members performing

EVA’s t0 ereW-members not performing EVA’s on same mission. Results show that

EVA scheduling to avoid trapped radiation and high Earth magnetic ﬁeld passes can

effectively reduce EVA doses.

Fig. 8. Correlation between physical dosimetry assessment of effective doses relative to

biodosimetry from four NASA astronauts from Mir missions, EVA astronauts from STS-

103 (Hubble repair mission) and 188 increments. The left-hand panel shows results

based on the individuals pre-ﬂight calibration curve to low dose gamma-rays and the

right hand panel comparison bases on the population averaged calibration to gamma-rays.
24

"
"25","N
E 1010 - F>108 solar proton
(\3 events only
(D
C
.9
O
L
D: 109
>
G)
E
O
CO
A, 108
LL
1950 1960 1970 1980 1990 2000 2010 2020
1800
1 1 1 1 1 1 1 1
1600 1 1 1 1 1 1 1 1
1 1 1 1
1400 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1200 1 1 1 1 1 1 1 1
> 1 1 1 1 1 1 1 1
E 1000 1 1 1 1 1 1 1
1 1 1 1 1 1 1
6‘ 1 1 1 1 1 1 1 1
800 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
600 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
400 1 1 1 1 1 1 1+
200 1 E: 1 1 C: 1 E 1
1950 1955 1960 1965 1970 1975 1980 1985 1990 1995 2000 2005 2010 2015 2020
Time
25

"
"26","E I... 2 2 2 2

3

—‘< 2 “Fr? 2 s 2

> Er

5

N 2 -.=_= s 2

2

E 2 2 I 2 2

3

X 2 2 ""' g

2 2 2 iii. 2

|_|_ 2 2 2 w- 2

9 i iii.

:4; “I. H

a 10-4

10-5 C C I
10‘1 100 1O1 1O2 103 104
Lineal Energy (Tissue, keV/pm)

Figure2

"
"27","Figure 3
104 —\.
F ......D ..II.. I-
I \\ '-IL
; 1 O3 \ \ll'l'l'rrrrrr
CU \
U 1 02 . . . . . . . . rrmmumm
L M
m 101 I ' '
N l!.""'r
V — Direct
g 10'1 Direct+ 5_ray FF_\
A —.—.—. LET Distribution '\
E: 10'2 a Data of Badhwar et al. '_ '\
10'3 ‘
0.1 1 10 100 1000
y, keV/pm
27

"
"28","Figure4
0.4
\«Q
<>\<> —0— n (HI recoil only)

c? 0.3 \<>""Q _—+—— 3He,4He
E ""<>\ —""—<>'—-- Heavylons
> __

U) \_

E '<x_

: 0'2 \""<x WV
c. VV\ _____
L“ W _.-..—.......>....<.—-—__..__.____

g .i'j’IJ'” “<>x..\.

o 0-1'vv \\<>.

Q V \""-..\
V
0.0 ._‘“ﬂ
0 10 20 30 40 50
' 2
Depth In AI, g/cm
28

"
"29","FigureS
>
(f) A Badge Dose, mGy 5
E 100 U Effective Dose, mSv
L Skylab, Mir and ISS ﬂ
0 ,,
;A
> ,
(D
E 10 _ r
(DB Apollo and Shuttle 33‘
8 . A {or
u u A V
D Gemlm ‘ ‘ ‘ v7; V'v'vyV-,VVV A a
Mercury A w YMMV 4;” “WV A‘
C «v '5'; ' 3 w AA “
O 1 , '3‘? ‘ .' A
__-_ A
2 La
0.1
O 100 200 300 400 500 600 700 800
Astronaut, J
29

"
"30","10
I] < 40 deg Inclination
A 40-60 deg Inclination
> 0 Deep Space D
cu '3 a
E E a
> E u.
U) a E
0 I: El
E '3 ‘ E E EIE
w“ a G 3 a a
m 1 El .3 III A E
O O 3 III A
D 0. BE ‘ V E'
_g '3 gm A gun I A ‘
E A El ‘ x '- '~ C V
“a_g EI- QI ‘ U D i‘- g.
‘4' A ‘_ D g.“
I II

LU E? E E!!- Jng‘3 =55!ng

rm Ea

0.1 IEJ I E
1960 1970 1980 1990 2000 2010
Calendar Year
30

"
"31","FigurP 7
STS—103
STS—96
STS—88
STS—82
STS—76
STS—72
STS—69
STS—63
STS—64
STS—61
STS—51
STS—57
STS—54
STS—49
STS—37
STS—61B
STS—51I
STS—51D
STS—51A
STS—41G
STS—41C
STS—41B
STS—6
0.8 0.9 1.0 1.1 1.2
EVA Crew Dose/ Non-EVA Crew Dose
31

"
"32","Figure 8
30 30
Individual assessment Population assessment
25 25
o-
Lﬁ 20 UIJ 20
g >
(9 (D
o o
- 15 . . CD“ 15
3 .- w |
C II I! l .8 I
'0 o L.
2 10 | .55. ii 10
m i."" | I l
"" . | I
5 III 5 Ii
0 ‘ ' 0 l
O 5 1O 15 O 5 1O 15
Effective Dose, cSv Effective Dose, cSv

"
